=== ANÁLISIS LÉXICO ===
TOKEN			LEXEMA		LINEA		COLUMNA
----------------------------------------
LET                      	let            	2	1
STRING                   	string         	2	5
IDENTIFIER               	s1             	2	12
DELIMITER                	$              	2	14
LET                      	let            	3	1
BOOL                     	bool           	3	5
IDENTIFIER               	b1             	3	10
DELIMITER                	$              	3	12
VOID                     	void           	5	1
PRINCIPAL                	principal      	5	6
LEFT_PAREN               	є              	5	16
RIGHT_PAREN              	э              	5	20
LEFT_BLOCK               	¿              	5	23
LET                      	let            	7	2
CHAR                     	char           	7	6
IDENTIFIER               	miChar         	7	11
ASSIGN                   	=              	7	17
CHAR_LITERAL             	'!'            	7	18
DELIMITER                	$              	7	21
LET                      	let            	8	2
CHAR                     	char           	8	6
IDENTIFIER               	miChar2        	8	11
ASSIGN                   	=              	8	18
CHAR_LITERAL             	'a'            	8	19
DELIMITER                	$              	8	22
LET                      	let            	9	2
STRING                   	string         	9	6
IDENTIFIER               	str1           	9	13
ASSIGN                   	=              	9	17
STRING_LITERAL           	"Mi string 1"  	9	18
DELIMITER                	$              	9	31
LET                      	let            	10	2
FLOAT                    	float          	10	6
IDENTIFIER               	fl1            	10	12
DELIMITER                	$              	10	15
LET                      	let            	11	2
FLOAT                    	float          	11	6
IDENTIFIER               	fl1            	11	12
ASSIGN                   	=              	11	15
FLOAT_LITERAL            	56.6           	11	16
DELIMITER                	$              	11	20
LET                      	let            	12	2
INT                      	int            	12	6
IDENTIFIER               	in1            	12	10
ASSIGN                   	=              	12	13
IDENTIFIER               	fl1            	12	14
DECREMENT                	--             	12	17
MINUS_OPERATOR           	-              	12	19
INT_LITERAL              	-14            	12	21
MOD_OPERATOR             	%              	12	24
IDENTIFIER               	in1            	12	25
INCREMENT                	++             	12	29
PLUS_OPERATOR            	+              	12	31
INT_LITERAL              	7              	12	33
DIV_OPERATOR             	/              	12	35
INT_LITERAL              	15             	12	37
DELIMITER                	$              	12	39
LET                      	let            	13	2
FLOAT                    	float          	13	6
IDENTIFIER               	fl2            	13	12
ASSIGN                   	=              	13	15
FLOAT_LITERAL            	3.7            	13	16
POWER_OPERATOR           	^              	13	20
IDENTIFIER               	fl1            	13	22
PLUS_OPERATOR            	+              	13	25
LEFT_PAREN               	є              	13	27
FLOAT_LITERAL            	45.6           	13	29
MOD_OPERATOR             	%              	13	34
INT_LITERAL              	76             	13	36
RIGHT_PAREN              	э              	13	39
DELIMITER                	$              	13	41
IDENTIFIER               	arr            	16	2
ASSIGN                   	=              	16	6
INT_LITERAL              	10             	16	8
MINUS_OPERATOR           	-              	16	11
IDENTIFIER               	arr            	16	13
LEFT_BLOCK               	¿              	16	17
INT_LITERAL              	67             	16	18
RIGHT_BLOCK              	?              	16	20
MULT_OPERATOR            	*              	16	22
IDENTIFIER               	func1          	16	24
LEFT_PAREN               	є              	16	31
IDENTIFIER               	hola           	16	33
COMMA                    	,              	16	37
IDENTIFIER               	true           	16	39
COMMA                    	,              	16	43
IDENTIFIER               	holaMundo      	16	45
COMMA                    	,              	16	54
FLOAT_LITERAL            	4.5            	16	56
COMMA                    	,              	16	59
CHAR_LITERAL             	'a'            	16	61
RIGHT_PAREN              	э              	16	65
DELIMITER                	$              	16	67
IDENTIFIER               	fl1            	17	2
ASSIGN                   	=              	17	6
FLOAT_LITERAL            	4.5            	17	8
MOD_OPERATOR             	%              	17	11
IDENTIFIER               	miChar         	17	12
POWER_OPERATOR           	^              	17	18
FLOAT_LITERAL            	-0.005         	17	19
