=== ANÁLISIS LÉXICO ===
TOKEN			LEXEMA		LINEA		COLUMNA
----------------------------------------
LET                      	let            	2	2
STRING                   	string         	2	6
IDENTIFIER               	s1             	2	13
DELIMITER                	$              	2	15
FLOAT                    	float          	8	1
IDENTIFIER               	mi             	8	7
LEFT_PAREN               	є              	8	11
INT                      	int            	8	13
IDENTIFIER               	dif            	8	17
COMMA                    	,              	8	20
CHAR                     	char           	8	22
IDENTIFIER               	otra           	8	27
RIGHT_PAREN              	э              	8	34
LEFT_BLOCK               	¿              	8	36
LET                      	let            	10	9
CHAR                     	char           	10	13
IDENTIFIER               	miChar         	10	18
ASSIGN                   	=              	10	24
CHAR_LITERAL             	' '            	10	26
DELIMITER                	$              	10	29
LET                      	let            	11	2
INT                      	int            	11	6
IDENTIFIER               	_otra          	11	10
DELIMITER                	$              	11	15
LET                      	let            	12	2
STRING                   	string         	12	6
IDENTIFIER               	str            	12	13
ASSIGN                   	=              	12	16
STRING_LITERAL           	"Hola $~&|?$& э  mundo"	12	17
DELIMITER                	$              	12	40
FOR                      	for            	13	2
LEFT_PAREN               	є              	13	6
LET                      	let            	13	8
INT                      	int            	13	12
IDENTIFIER               	i              	13	16
ASSIGN                   	=              	13	17
INT_LITERAL              	20             	13	18
DELIMITER                	$              	13	21
STEP                     	step           	13	23
INT_LITERAL              	-2             	13	28
DOWNTO                   	downto         	13	31
INT_LITERAL              	0              	13	38
RIGHT_PAREN              	э              	13	40
DO                       	do             	13	42
LEFT_BLOCK               	¿              	14	3
LOOP                     	loop           	15	3
IDENTIFIER               	var2           	16	6
ASSIGN                   	=              	16	11
IDENTIFIER               	var2           	16	13
MINUS_OPERATOR           	-              	16	18
INT_LITERAL              	1              	16	20
DELIMITER                	$              	16	21
IDENTIFIER               	var            	17	4
ASSIGN                   	=              	17	8
IDENTIFIER               	var            	17	10
MINUS_OPERATOR           	-              	17	14
INT_LITERAL              	1              	17	16
DELIMITER                	$              	17	17
EXIT                     	exit           	18	3
WHEN                     	when           	18	11
LEFT_PAREN               	є              	18	16
IDENTIFIER               	var2           	18	18
GREATER                  	>              	18	22
FLOAT_LITERAL            	12.2           	18	23
AND                      	@              	18	28
NOT                      	Σ              	18	30
LEFT_PAREN               	є              	18	32
INT_LITERAL              	12             	18	33
GREATER                  	>              	18	35
LEFT_PAREN               	є              	18	37
INT_LITERAL              	34             	18	39
PLUS_OPERATOR            	+              	18	41
INT_LITERAL              	35             	18	42
RIGHT_PAREN              	э              	18	45
RIGHT_PAREN              	э              	18	46
RIGHT_PAREN              	э              	18	49
DELIMITER                	$              	18	51
UNKNOWN                  	end            	19	3
LOOP                     	loop           	19	10
DELIMITER                	$              	19	14
DECIDE                   	decide         	22	3
UNKNOWN                  	of             	22	12
LEFT_PAREN               	є              	23	3
IDENTIFIER               	_x24           	23	5
GREATER_EQUAL            	>=             	23	10
IDENTIFIER               	var            	23	13
MULT_OPERATOR            	*              	23	17
FLOAT_LITERAL            	5.6            	23	19
RIGHT_PAREN              	э              	23	23
LEFT_BLOCK               	¿              	24	4
OUTPUT                   	output         	25	4
STRING_LITERAL           	"entra al if"  	25	12
DELIMITER                	$              	25	26
RIGHT_BLOCK              	?              	26	4
UNKNOWN                  	end            	27	18
DECIDE                   	decide         	27	25
DELIMITER                	$              	27	34
DECIDE                   	decide         	28	3
UNKNOWN                  	of             	28	16
LEFT_PAREN               	є              	29	3
IDENTIFIER               	true           	29	5
RIGHT_PAREN              	э              	29	10
LEFT_BLOCK               	¿              	30	4
OUTPUT                   	output         	31	4
IDENTIFIER               	var            	31	12
DELIMITER                	$              	31	17
RIGHT_BLOCK              	?              	32	4
ELSE                     	else           	33	3
LEFT_BLOCK               	¿              	34	4
DECIDE                   	decide         	35	4
UNKNOWN                  	of             	35	11
LEFT_PAREN               	є              	36	6
IDENTIFIER               	otra           	36	8
EQUAL                    	==             	36	13
INT_LITERAL              	1              	36	16
RIGHT_PAREN              	э              	36	18
LEFT_BLOCK               	¿              	36	22
OUTPUT                   	output         	37	6
STRING_LITERAL           	"!|"           	37	14
DELIMITER                	$              	37	20
RIGHT_BLOCK              	?              	37	22
ELIF                     	elif           	38	5
LEFT_PAREN               	є              	38	10
IDENTIFIER               	otra           	38	12
EQUAL                    	==             	38	17
INT_LITERAL              	2              	38	20
RIGHT_PAREN              	э              	38	23
LEFT_BLOCK               	¿              	38	26
IDENTIFIER               	otra           	39	6
ASSIGN                   	=              	39	11
INT_LITERAL              	10             	39	13
DELIMITER                	$              	39	15
RIGHT_BLOCK              	?              	40	7
ELSE                     	else           	42	5
LEFT_BLOCK               	¿              	42	11
IDENTIFIER               	otra           	43	6
ASSIGN                   	=              	43	11
FLOAT_LITERAL            	-10.5          	43	13
MULT_OPERATOR            	*              	43	19
FLOAT_LITERAL            	-1.9           	43	21
DELIMITER                	$              	43	25
RIGHT_BLOCK              	?              	43	27
UNKNOWN                  	end            	44	41
DECIDE                   	decide         	44	45
DELIMITER                	$              	44	52
DECIDE                   	decide         	47	4
UNKNOWN                  	of             	47	11
