=== ANÁLISIS LÉXICO ===
TOKEN			LEXEMA		LINEA		COLUMNA
----------------------------------------
LET                      	let            	1	1
INT                      	int            	1	5
IDENTIFIER               	gInt           	1	9
DELIMITER                	$              	1	13
FLOAT                    	float          	2	1
IDENTIFIER               	miFunc         	2	7
LEFT_PAREN               	є              	2	14
RIGHT_PAREN              	э              	2	16
LEFT_BLOCK               	¿              	2	17
RETURN                   	return         	2	18
FLOAT_LITERAL            	1.2            	2	25
DELIMITER                	$              	2	28
RIGHT_BLOCK              	?              	2	29
CHAR                     	char           	3	1
IDENTIFIER               	miFunc2        	3	6
LEFT_PAREN               	є              	3	14
RIGHT_PAREN              	э              	3	16
LEFT_BLOCK               	¿              	3	17
RETURN                   	return         	3	18
CHAR_LITERAL             	'a'            	3	25
DELIMITER                	$              	3	28
RIGHT_BLOCK              	?              	3	29
VOID                     	void           	5	1
PRINCIPAL                	principal      	5	6
LEFT_PAREN               	є              	5	16
RIGHT_PAREN              	э              	5	18
LEFT_BLOCK               	¿              	5	20
LET                      	let            	6	5
FLOAT                    	float          	6	9
IDENTIFIER               	a              	6	15
ASSIGN                   	=              	6	17
IDENTIFIER               	miFunc         	6	19
LEFT_PAREN               	є              	6	26
RIGHT_PAREN              	э              	6	28
MULT_OPERATOR            	*              	6	30
FLOAT_LITERAL            	1.2            	6	32
DELIMITER                	$              	6	35
LET                      	let            	7	5
FLOAT                    	float          	7	9
IDENTIFIER               	boyaka         	7	15
ASSIGN                   	=              	7	22
FLOAT_LITERAL            	1.2            	7	24
MULT_OPERATOR            	*              	7	28
FLOAT_LITERAL            	2.5            	7	30
PLUS_OPERATOR            	+              	7	34
FLOAT_LITERAL            	-1.5           	7	36
PLUS_OPERATOR            	+              	7	41
IDENTIFIER               	a              	7	43
INCREMENT                	++             	7	44
DIV_OPERATOR             	/              	7	47
FLOAT_LITERAL            	2.2            	7	49
DELIMITER                	$              	7	52
LET                      	let            	8	5
INT                      	int            	8	9
IDENTIFIER               	bbcita         	8	13
ASSIGN                   	=              	8	20
MINUS_OPERATOR           	-              	8	22
INT_LITERAL              	2              	8	24
DELIMITER                	$              	8	25
